_id,DAY,pocet,narust
1,2018-08-02T00:00:00,3,3
2,2018-08-20T00:00:00,4,1
3,2018-08-21T00:00:00,38,34
4,2018-08-22T00:00:00,63,25
5,2018-08-23T00:00:00,76,13
6,2018-08-24T00:00:00,77,1
7,2018-08-25T00:00:00,87,10
8,2018-08-26T00:00:00,111,24
9,2018-08-27T00:00:00,4407,4296
10,2018-08-28T00:00:00,9146,4739
11,2018-08-29T00:00:00,14476,5330
12,2018-08-30T00:00:00,18376,3900
13,2018-08-31T00:00:00,22046,3670
14,2018-09-01T00:00:00,25221,3175
15,2018-09-02T00:00:00,29831,4610
16,2018-09-03T00:00:00,36368,6537
17,2018-09-04T00:00:00,40761,4393
18,2018-09-05T00:00:00,44278,3517
19,2018-09-06T00:00:00,47012,2734
20,2018-09-07T00:00:00,49213,2201
21,2018-09-08T00:00:00,50425,1212
22,2018-09-09T00:00:00,52488,2063
23,2018-09-10T00:00:00,55979,3491
24,2018-09-11T00:00:00,58930,2951
25,2018-09-12T00:00:00,61479,2549
26,2018-09-13T00:00:00,63742,2263
27,2018-09-14T00:00:00,65425,1683
28,2018-09-15T00:00:00,66433,1008
29,2018-09-16T00:00:00,68430,1997
30,2018-09-17T00:00:00,72201,3771
31,2018-09-18T00:00:00,74808,2607
32,2018-09-19T00:00:00,77163,2355
33,2018-09-20T00:00:00,79150,1987
34,2018-09-21T00:00:00,80697,1547
35,2018-09-22T00:00:00,81599,902
36,2018-09-23T00:00:00,83277,1678
37,2018-09-24T00:00:00,85929,2652
38,2018-09-25T00:00:00,88288,2359
39,2018-09-26T00:00:00,90397,2109
40,2018-09-27T00:00:00,92022,1625
41,2018-09-28T00:00:00,93036,1014
42,2018-09-29T00:00:00,94018,982
43,2018-09-30T00:00:00,96512,2494
44,2018-10-01T00:00:00,101449,4937
45,2018-10-02T00:00:00,105139,3690
46,2018-10-03T00:00:00,108019,2880
47,2018-10-04T00:00:00,110134,2115
48,2018-10-05T00:00:00,111605,1471
49,2018-10-06T00:00:00,112460,855
50,2018-10-07T00:00:00,114037,1577
51,2018-10-08T00:00:00,116733,2696
52,2018-10-09T00:00:00,119081,2348
53,2018-10-10T00:00:00,121166,2085
54,2018-10-11T00:00:00,122853,1687
55,2018-10-12T00:00:00,124212,1359
56,2018-10-13T00:00:00,125034,822
57,2018-10-14T00:00:00,126340,1306
58,2018-10-15T00:00:00,128548,2208
59,2018-10-16T00:00:00,130565,2017
60,2018-10-17T00:00:00,132191,1626
61,2018-10-18T00:00:00,133615,1424
62,2018-10-19T00:00:00,134690,1075
63,2018-10-20T00:00:00,135296,606
64,2018-10-21T00:00:00,136360,1064
65,2018-10-22T00:00:00,138131,1771
66,2018-10-23T00:00:00,139679,1548
67,2018-10-24T00:00:00,141191,1512
68,2018-10-25T00:00:00,142469,1278
69,2018-10-26T00:00:00,143360,891
70,2018-10-27T00:00:00,143945,585
71,2018-10-28T00:00:00,144774,829
72,2018-10-29T00:00:00,146166,1392
73,2018-10-30T00:00:00,147569,1403
74,2018-10-31T00:00:00,148980,1411
75,2018-11-01T00:00:00,150272,1292
76,2018-11-02T00:00:00,151298,1026
77,2018-11-03T00:00:00,151927,629
78,2018-11-04T00:00:00,152912,985
79,2018-11-05T00:00:00,154661,1749
80,2018-11-06T00:00:00,156350,1689
81,2018-11-07T00:00:00,157796,1446
82,2018-11-08T00:00:00,159012,1216
83,2018-11-09T00:00:00,160004,992
84,2018-11-10T00:00:00,160603,599
85,2018-11-11T00:00:00,161468,865
86,2018-11-12T00:00:00,163059,1591
87,2018-11-13T00:00:00,164299,1240
88,2018-11-14T00:00:00,165465,1166
89,2018-11-15T00:00:00,166393,928
90,2018-11-16T00:00:00,167164,771
91,2018-11-17T00:00:00,167605,441
92,2018-11-18T00:00:00,168384,779
93,2018-11-19T00:00:00,169594,1210
94,2018-11-20T00:00:00,170697,1103
95,2018-11-21T00:00:00,171690,993
96,2018-11-22T00:00:00,172480,790
97,2018-11-23T00:00:00,173089,609
98,2018-11-24T00:00:00,173504,415
99,2018-11-25T00:00:00,174186,682
100,2018-11-26T00:00:00,175166,980
101,2018-11-27T00:00:00,176012,846
102,2018-11-28T00:00:00,176818,806
103,2018-11-29T00:00:00,177546,728
104,2018-11-30T00:00:00,178183,637
105,2018-12-01T00:00:00,178679,496
106,2018-12-02T00:00:00,179538,859
107,2018-12-03T00:00:00,180726,1188
108,2018-12-04T00:00:00,181624,898
109,2018-12-05T00:00:00,182691,1067
110,2018-12-06T00:00:00,183517,826
111,2018-12-07T00:00:00,184245,728
112,2018-12-08T00:00:00,184729,484
113,2018-12-09T00:00:00,185475,746
114,2018-12-10T00:00:00,186610,1135
115,2018-12-11T00:00:00,187555,945
116,2018-12-12T00:00:00,188457,902
117,2018-12-13T00:00:00,189275,818
118,2018-12-14T00:00:00,189973,698
119,2018-12-15T00:00:00,190437,464
120,2018-12-16T00:00:00,191169,732
121,2018-12-17T00:00:00,192423,1254
122,2018-12-18T00:00:00,193422,999
123,2018-12-19T00:00:00,194308,886
124,2018-12-20T00:00:00,195173,865
125,2018-12-21T00:00:00,195960,787
126,2018-12-22T00:00:00,196398,438
127,2018-12-23T00:00:00,196803,405
128,2018-12-24T00:00:00,197045,242
129,2018-12-25T00:00:00,197481,436
130,2018-12-26T00:00:00,198359,878
131,2018-12-27T00:00:00,199845,1486
132,2018-12-28T00:00:00,201170,1325
133,2018-12-29T00:00:00,202028,858
134,2018-12-30T00:00:00,203078,1050
135,2018-12-31T00:00:00,204191,1113
136,2019-01-01T00:00:00,206598,2407
137,2019-01-02T00:00:00,211105,4507
138,2019-01-03T00:00:00,214881,3776
139,2019-01-04T00:00:00,217029,2148
140,2019-01-05T00:00:00,218138,1109
141,2019-01-06T00:00:00,219958,1820
142,2019-01-07T00:00:00,222658,2700
143,2019-01-08T00:00:00,224637,1979
144,2019-01-09T00:00:00,226345,1708
145,2019-01-10T00:00:00,227776,1431
146,2019-01-11T00:00:00,228850,1074
147,2019-01-12T00:00:00,229542,692
148,2019-01-13T00:00:00,230492,950
149,2019-01-14T00:00:00,232187,1695
150,2019-01-15T00:00:00,233552,1365
151,2019-01-16T00:00:00,234700,1148
152,2019-01-17T00:00:00,235723,1023
153,2019-01-18T00:00:00,236501,778
154,2019-01-19T00:00:00,236959,458
155,2019-01-20T00:00:00,237699,740
156,2019-01-21T00:00:00,238822,1123
157,2019-01-22T00:00:00,239768,946
158,2019-01-23T00:00:00,240640,872
159,2019-01-24T00:00:00,241386,746
160,2019-01-25T00:00:00,241940,554
161,2019-01-26T00:00:00,242285,345
162,2019-01-27T00:00:00,242867,582
163,2019-01-28T00:00:00,243829,962
164,2019-01-29T00:00:00,244617,788
165,2019-01-30T00:00:00,245358,741
166,2019-01-31T00:00:00,246050,692
167,2019-02-01T00:00:00,246584,534
168,2019-02-02T00:00:00,247006,422
169,2019-02-03T00:00:00,247627,621
170,2019-02-04T00:00:00,248597,970
171,2019-02-05T00:00:00,249394,797
172,2019-02-06T00:00:00,250154,760
173,2019-02-07T00:00:00,250776,622
174,2019-02-08T00:00:00,251313,537
175,2019-02-09T00:00:00,251677,364
176,2019-02-10T00:00:00,252244,567
177,2019-02-11T00:00:00,253113,869
178,2019-02-12T00:00:00,253882,769
179,2019-02-13T00:00:00,254562,680
180,2019-02-14T00:00:00,255081,519
181,2019-02-15T00:00:00,255570,489
182,2019-02-16T00:00:00,255881,311
183,2019-02-17T00:00:00,256370,489
184,2019-02-18T00:00:00,257110,740
185,2019-02-19T00:00:00,257749,639
186,2019-02-20T00:00:00,258348,599
187,2019-02-21T00:00:00,258870,522
188,2019-02-22T00:00:00,259289,419
189,2019-02-23T00:00:00,259561,272
190,2019-02-24T00:00:00,260032,471
191,2019-02-25T00:00:00,260715,683
192,2019-02-26T00:00:00,261362,647
193,2019-02-27T00:00:00,261908,546
194,2019-02-28T00:00:00,262434,526
195,2019-03-01T00:00:00,262963,529
196,2019-03-02T00:00:00,263307,344
197,2019-03-03T00:00:00,263886,579
198,2019-03-04T00:00:00,264683,797
199,2019-03-05T00:00:00,265393,710
200,2019-03-06T00:00:00,266030,637
201,2019-03-07T00:00:00,266556,526
202,2019-03-08T00:00:00,267034,478
203,2019-03-09T00:00:00,267339,305
204,2019-03-10T00:00:00,267803,464
205,2019-03-11T00:00:00,268535,732
206,2019-03-12T00:00:00,269328,793
207,2019-03-13T00:00:00,270073,745
208,2019-03-14T00:00:00,270747,674
209,2019-03-15T00:00:00,271289,542
210,2019-03-16T00:00:00,271685,396
211,2019-03-17T00:00:00,272255,570
212,2019-03-18T00:00:00,273115,860
213,2019-03-19T00:00:00,273827,712
214,2019-03-20T00:00:00,274441,614
215,2019-03-21T00:00:00,274988,547
216,2019-03-22T00:00:00,275474,486
217,2019-03-23T00:00:00,275822,348
218,2019-03-24T00:00:00,276304,482
219,2019-03-25T00:00:00,277001,697
220,2019-03-26T00:00:00,277696,695
221,2019-03-27T00:00:00,278344,648
222,2019-03-28T00:00:00,278907,563
223,2019-03-29T00:00:00,279388,481
224,2019-03-30T00:00:00,279768,380
225,2019-03-31T00:00:00,280294,526
226,2019-04-01T00:00:00,281119,825
227,2019-04-02T00:00:00,281859,740
228,2019-04-03T00:00:00,282576,717
229,2019-04-04T00:00:00,283194,618
230,2019-04-05T00:00:00,283707,513
231,2019-04-06T00:00:00,284176,469
232,2019-04-07T00:00:00,284734,558
233,2019-04-08T00:00:00,285610,876
234,2019-04-09T00:00:00,285613,3
